"Timestamp,close,high,low,open,volume"	Open	High	Low	Close	Volume
"1433424650,43.0300,43.0500,43.0300,43.0400,176400"	151.8	153.84	151.8	152.74	18853932
"1433424718,42.9700,43.0598,42.9700,43.0300,53000"	150.58	152.44	149.9	152.09	21493160
"1433424720,43.0000,43.0400,42.9600,42.9900,49600"	149.99	150.44	148.88	150.27	26252630
"1433424836,42.9900,43.0500,42.9700,43.0000,50100"	151.5	151.74	150.19	150.34	17243748
"1433424899,42.9600,42.9900,42.9300,42.9800,68200"	150.48	151.42	149.95	151.02	20922969
"1433424959,43.0600,43.0900,42.9400,42.9600,84100"	149.2	150.13	148.67	150.08	17868792
"1433425015,43.1100,43.1300,43.0500,43.0500,26400"	148.82	150.9	148.57	149.56	23793456
"1433425078,43.1400,43.1400,43.0500,43.1200,26000"	147.97	149.33	147.33	149.04	20132061
"1433425080,43.1798,43.1900,43.1300,43.1400,19500"	145.5	148.49	145.44	147.77	25199373
"1433425140,43.2000,43.2100,43.1700,43.1700,20000"	145.87	146.18	144.82	145.74	24884478
"1433425259,43.2700,43.3100,43.2100,43.2100,48100"	144.73	145.85	144.38	145.53	19781836
"1433425319,43.2700,43.2800,43.2400,43.2800,39400"	144.11	145.95	143.37	145.06	21090636
"1433425378,43.2300,43.2700,43.2200,43.2700,41200"	142.9	144.75	142.9	144.18	19201712
"1433425431,43.2200,43.2400,43.2000,43.2300,25800"	143.02	143.5	142.41	142.73	24128782
"1433425447,43.3500,43.3600,43.2600,43.2700,53100"	143.69	144.79	142.72	144.09	21569557
"1433425558,43.3100,43.3500,43.3000,43.3500,32600"	144.88	145.3	143.1	143.5	14277848
"1433425610,43.3400,43.3500,43.2999,43.3000,27800"	144.45	144.96	143.78	144.02	23024107
"1433425674,43.2700,43.3400,43.2672,43.3300,17300"	144.71	145.13	142.28	143.68	31499368
"1433425738,43.2500,43.3000,43.2477,43.2800,38300"	144.49	146.11	143.16	145.83	22082432
"1433425795,43.1400,43.2400,43.1400,43.2400,23800"	145.01	146.16	143.62	143.73	24761891
"1433425858,43.1232,43.1800,43.1200,43.1800,25900"	147.17	148.28	145.38	145.82	25692361
"1433425918,43.1625,43.1700,43.1200,43.1200,7900"	145.13	147.16	145.11	146.28	35439389
"1433425979,43.2400,43.2400,43.1700,43.1700,15400"	145.77	146.7	145.12	145.63	19106294
"1433426034,43.2500,43.2600,43.2400,43.2500,19700"	145.52	146.07	144.61	145.87	21265751
"1433426043,43.2454,43.2659,43.2200,43.2400,25000"	146.87	146.87	144.94	145.01	24900073
"1433426218,43.2900,43.3100,43.2700,43.3000,9400"	143.66	146.74	143.66	146.34	32541404
"1433426278,43.3310,43.3310,43.2600,43.2840,17100"	143.78	144.5	142.2	142.27	50361093
"1433426339,43.3500,43.3800,43.3400,43.3400,37700"	143.32	144.48	142.21	144.29	32165373
"1433426340,43.3600,43.3700,43.3400,43.3400,15200"	147.5	147.5	143.84	145.16	31531232
"1433426458,43.4399,43.4400,43.3500,43.3700,37200"	147.16	147.45	145.15	146.59	34165445
"1433426516,43.3900,43.4400,43.3800,43.4400,17000"	145.74	146.09	142.51	145.42	72307330
"1433426576,43.3900,43.4000,43.3800,43.3800,21000"	155.19	155.19	146.02	148.98	64882657
"1433426632,43.3400,43.3700,43.3400,43.3700,8300"	155.25	155.54	154.4	154.99	21250798
"1433426699,43.3400,43.3600,43.3400,43.3500,18900"	155.02	155.98	154.48	155.37	21069647
"1433426706,43.3100,43.3400,43.3000,43.3400,13400"	153.9	155.81	153.78	154.45	26624926
"1433426763,43.2900,43.3100,43.2900,43.3000,5700"	154.34	154.45	153.46	153.93	25331662
"1433426821,43.2900,43.3000,43.2900,43.2900,12600"	153.58	155.45	152.89	155.45	27770715
"1433426886,43.2800,43.3000,43.2800,43.2900,24500"	153.17	153.33	152.22	153.18	16404088
"1433426999,43.3000,43.3000,43.2700,43.2770,34700"	153.97	154.17	152.38	152.76	24451164
"1433427055,43.2850,43.2900,43.2810,43.2850,4000"	153.42	154.43	153.33	153.67	20126851
"1433427062,43.3100,43.3200,43.2800,43.2800,24500"	154	154.24	153.31	153.61	21927637
"1433427177,43.3100,43.3200,43.3100,43.3100,16200"	153.73	154.35	153.03	153.87	19235598
"1433427234,43.3300,43.3500,43.3200,43.3300,17300"	153.84	154.17	152.67	153.34	19219154
"1433427241,43.2800,43.3200,43.2800,43.3200,5700"	154.9	154.9	153.31	153.8	19918871
"1433427355,43.2700,43.2800,43.2300,43.2800,19400"	154	154.58	152.91	153.99	22966437
"1433427367,43.2800,43.2850,43.2700,43.2750,12700"	153.38	153.98	152.63	153.06	26960788
"1433427468,43.2700,43.2900,43.2700,43.2850,9200"	151.27	153.34	151.13	152.54	33568215
"1433427511,43.2800,43.2800,43.2650,43.2700,1800"	153.6	154.57	149.71	150.25	50767678
"1433427593,43.2800,43.2800,43.2700,43.2750,1500"	155.94	156.06	154.72	155.47	20048478
"1433427642,43.3000,43.3000,43.2800,43.2800,13200"	156.01	156.65	155.05	155.7	26009719
"1433427662,43.2730,43.3000,43.2700,43.3000,10900"	154.7	156.42	154.67	156.1	32527017
"1433427726,43.2800,43.2800,43.2700,43.2700,5300"	152.45	154.07	152.31	153.95	27255058
"1433427795,43.2800,43.3000,43.2800,43.2900,17500"	153.63	153.94	152.11	153.26	25805692
"1433427894,43.2800,43.2810,43.2800,43.2800,7000"	153.87	154.88	153.45	153.99	39130363
"1433427958,43.2650,43.2868,43.2650,43.2800,16600"	149.03	153.7	149.03	153.01	48752413
"1433428018,43.2600,43.2600,43.2200,43.2300,14800"	146.76	148.98	146.76	148.96	27327725
"1433428071,43.2551,43.2551,43.2500,43.2500,200"	146.52	147.14	145.81	146.53	23371872
"1433428081,43.2700,43.2700,43.2500,43.2500,2600"	145.59	147.49	144.27	147.06	45697034
"1433428172,43.2700,43.2800,43.2400,43.2800,5000"	147.54	148.09	146.84	147.51	45352194
"1433428259,43.1600,43.2700,43.1550,43.2700,31200"	145.1	147.2	144.96	146.58	33602943
"1433428264,43.1500,43.1600,43.1200,43.1600,14300"	144.09	144.3	143.27	143.65	20860358
"1433428375,43.1100,43.1500,43.0800,43.1500,10300"	143.92	144.16	143.31	143.79	14246347
"1433428434,43.1300,43.1300,43.1100,43.1100,8300"	144.47	144.6	143.38	143.68	20041241
"1433428499,43.1300,43.1550,43.1200,43.1200,20000"	143.91	144.9	143.87	144.53	18871501
"1433428559,43.1300,43.1400,43.1200,43.1200,21300"	143.5	143.95	143.18	143.64	17134333
"1433428619,43.1200,43.1400,43.0900,43.1300,28100"	142.44	142.68	141.85	142.27	17320928
"1433428676,43.1300,43.1344,43.1000,43.1100,24800"	141.22	142.92	141.16	142.44	23319562
